AWAY_TEAM,HOME_TEAM,WEEK,SLOT,NETWORK,QUAL_POINTS
BUF,NE,1,THUN,NBC,8
BUF,NE,1,MON1,ESP,8
BUF,NE,1,MON2,ESP,8
BUF,NE,1,SUNN,NBC,8
BUF,NE,2,THUN,CBS,8
BUF,NE,2,MON1,ESP,8
BUF,NE,2,SUNN,NBC,8
BUF,NE,3,THUN,CBS,8
BUF,NE,3,MON1,ESP,8
BUF,NE,3,SUNN,NBC,8
BUF,NE,4,THUN,CBS,8
BUF,NE,4,MON1,ESP,8
BUF,NE,4,SUNN,NBC,8
BUF,NE,5,THUN,CBS,8
BUF,NE,5,MON1,ESP,8
BUF,NE,5,SUNN,NBC,8
BUF,NE,6,THUN,CBS,8
BUF,NE,6,MON1,ESP,8
BUF,NE,6,SUNN,NBC,8
BUF,NE,7,THUN,CBS,8
BUF,NE,7,MON1,ESP,8
BUF,NE,7,SUNN,NBC,8
BUF,NE,8,THUN,CBS,8
BUF,NE,8,MON1,ESP,8
BUF,NE,8,SUNN,NBC,8
BUF,NE,9,THUN,CBS,8
BUF,NE,9,MON1,ESP,8
BUF,NE,9,SUNN,NBC,8
BUF,NE,10,THUN,NFL,8
BUF,NE,10,MON1,ESP,8
BUF,NE,10,SUNN,NBC,8
BUF,NE,11,THUN,NFL,8
BUF,NE,11,MON1,ESP,8
BUF,NE,11,SUNN,NBC,8
BUF,NE,12,THUN,NBC,8
BUF,NE,12,MON1,ESP,8
BUF,NE,12,SUNN,NBC,8
BUF,NE,13,THUN,NFL,8
BUF,NE,13,MON1,ESP,8
BUF,NE,13,SUNN,NBC,8
BUF,NE,14,THUN,NFL,8
BUF,NE,14,MON1,ESP,8
BUF,NE,14,SUNN,NBC,8
BUF,NE,15,THUN,NFL,8
BUF,NE,15,MON1,ESP,8
BUF,NE,15,SUNN,NBC,8
BUF,NE,15,SATL,NFL,8
BUF,NE,16,SATL,NFL,8
BUF,NE,16,MON1,ESP,8
BUF,NE,16,SUNN,NBC,8
BUF,NE,1,SUND,CBS,6
BUF,NE,2,SUND,CBS,6
BUF,NE,3,SUND,CBS,6
BUF,NE,4,SUND,CBS,6
BUF,NE,5,SUND,CBS,6
BUF,NE,6,SUND,CBS,6
BUF,NE,7,SUND,CBS,6
BUF,NE,8,SUND,CBS,6
BUF,NE,9,SUND,CBS,6
BUF,NE,10,SUND,CBS,6
BUF,NE,11,SUND,CBS,6
BUF,NE,12,SUND,CBS,6
BUF,NE,13,SUND,CBS,6
BUF,NE,14,SUND,CBS,6
BUF,NE,15,SUND,CBS,6
BUF,NE,16,SUND,CBS,6
BUF,NE,1,SUNE,CBS,4
BUF,NE,1,SUNL,CBS,4
BUF,NE,2,SUNE,CBS,4
BUF,NE,2,SUNL,CBS,4
BUF,NE,3,SUNE,CBS,4
BUF,NE,3,SUNL,CBS,4
BUF,NE,4,SUNE,CBS,4
BUF,NE,4,SUNL,CBS,4
BUF,NE,5,SUNE,CBS,4
BUF,NE,5,SUNL,CBS,4
BUF,NE,6,SUNE,CBS,4
BUF,NE,6,SUNL,CBS,4
BUF,NE,7,SUNE,CBS,4
BUF,NE,7,SUNL,CBS,4
BUF,NE,8,SUNE,CBS,4
BUF,NE,8,SUNL,CBS,4
BUF,NE,9,SUNE,CBS,4
BUF,NE,9,SUNL,CBS,4
BUF,NE,10,SUNE,CBS,4
BUF,NE,10,SUNL,CBS,4
BUF,NE,11,SUNE,CBS,4
BUF,NE,11,SUNL,CBS,4
BUF,NE,12,SUNE,CBS,4
BUF,NE,12,SUNL,CBS,4
BUF,NE,13,SUNE,CBS,4
BUF,NE,13,SUNL,CBS,4
BUF,NE,14,SUNE,CBS,4
BUF,NE,14,SUNL,CBS,4
BUF,NE,15,SUNE,CBS,4
BUF,NE,15,SUNL,CBS,4
BUF,NE,16,SUNE,CBS,4
BUF,NE,16,SUNL,CBS,4
BUF,NE,16,SATE,NFL,6
BUF,NE,15,SATE,NFL,6
BUF,NE,17,SUNE,CBS,4
BUF,NE,17,SUNL,CBS,4
BUF,NE,17,SUND,CBS,6
MIA,NE,1,THUN,NBC,10
MIA,NE,1,MON1,ESP,10
MIA,NE,1,MON2,ESP,10
MIA,NE,1,SUNN,NBC,10
MIA,NE,2,THUN,CBS,10
MIA,NE,2,MON1,ESP,10
MIA,NE,2,SUNN,NBC,10
MIA,NE,3,THUN,CBS,10
MIA,NE,3,MON1,ESP,10
MIA,NE,3,SUNN,NBC,10
MIA,NE,4,THUN,CBS,10
MIA,NE,4,MON1,ESP,10
MIA,NE,4,SUNN,NBC,10
MIA,NE,5,THUN,CBS,10
MIA,NE,5,MON1,ESP,10
MIA,NE,5,SUNN,NBC,10
MIA,NE,6,THUN,CBS,10
MIA,NE,6,MON1,ESP,10
MIA,NE,6,SUNN,NBC,10
MIA,NE,7,THUN,CBS,10
MIA,NE,7,MON1,ESP,10
MIA,NE,7,SUNN,NBC,10
MIA,NE,8,THUN,CBS,10
MIA,NE,8,MON1,ESP,10
MIA,NE,8,SUNN,NBC,10
MIA,NE,9,THUN,CBS,10
MIA,NE,9,MON1,ESP,10
MIA,NE,9,SUNN,NBC,10
MIA,NE,10,THUN,NFL,10
MIA,NE,10,MON1,ESP,10
MIA,NE,10,SUNN,NBC,10
MIA,NE,11,THUN,NFL,10
MIA,NE,11,MON1,ESP,10
MIA,NE,11,SUNN,NBC,10
MIA,NE,12,THUN,NBC,10
MIA,NE,12,MON1,ESP,10
MIA,NE,12,SUNN,NBC,10
MIA,NE,13,THUN,NFL,10
MIA,NE,13,MON1,ESP,10
MIA,NE,13,SUNN,NBC,10
MIA,NE,14,THUN,NFL,10
MIA,NE,14,MON1,ESP,10
MIA,NE,14,SUNN,NBC,10
MIA,NE,15,THUN,NFL,10
MIA,NE,15,MON1,ESP,10
MIA,NE,15,SUNN,NBC,10
MIA,NE,15,SATL,NFL,10
MIA,NE,16,SATL,NFL,10
MIA,NE,16,MON1,ESP,10
MIA,NE,16,SUNN,NBC,10
MIA,NE,1,SUND,CBS,7.5
MIA,NE,2,SUND,CBS,7.5
MIA,NE,3,SUND,CBS,7.5
MIA,NE,4,SUND,CBS,7.5
MIA,NE,5,SUND,CBS,7.5
MIA,NE,6,SUND,CBS,7.5
MIA,NE,7,SUND,CBS,7.5
MIA,NE,8,SUND,CBS,7.5
MIA,NE,9,SUND,CBS,7.5
MIA,NE,10,SUND,CBS,7.5
MIA,NE,11,SUND,CBS,7.5
MIA,NE,12,SUND,CBS,7.5
MIA,NE,13,SUND,CBS,7.5
MIA,NE,14,SUND,CBS,7.5
MIA,NE,15,SUND,CBS,7.5
MIA,NE,16,SUND,CBS,7.5
MIA,NE,1,SUNE,CBS,5
MIA,NE,1,SUNL,CBS,5
MIA,NE,2,SUNE,CBS,5
MIA,NE,2,SUNL,CBS,5
MIA,NE,3,SUNE,CBS,5
MIA,NE,3,SUNL,CBS,5
MIA,NE,4,SUNE,CBS,5
MIA,NE,4,SUNL,CBS,5
MIA,NE,5,SUNE,CBS,5
MIA,NE,5,SUNL,CBS,5
MIA,NE,6,SUNE,CBS,5
MIA,NE,6,SUNL,CBS,5
MIA,NE,7,SUNE,CBS,5
MIA,NE,7,SUNL,CBS,5
MIA,NE,8,SUNE,CBS,5
MIA,NE,8,SUNL,CBS,5
MIA,NE,9,SUNE,CBS,5
MIA,NE,9,SUNL,CBS,5
MIA,NE,10,SUNE,CBS,5
MIA,NE,10,SUNL,CBS,5
MIA,NE,11,SUNE,CBS,5
MIA,NE,11,SUNL,CBS,5
MIA,NE,12,SUNE,CBS,5
MIA,NE,12,SUNL,CBS,5
MIA,NE,13,SUNE,CBS,5
MIA,NE,13,SUNL,CBS,5
MIA,NE,14,SUNE,CBS,5
MIA,NE,14,SUNL,CBS,5
MIA,NE,15,SUNE,CBS,5
MIA,NE,15,SUNL,CBS,5
MIA,NE,16,SUNE,CBS,5
MIA,NE,16,SUNL,CBS,5
MIA,NE,16,SATE,NFL,7.5
MIA,NE,15,SATE,NFL,7.5
MIA,NE,17,SUNE,CBS,5
MIA,NE,17,SUNL,CBS,5
MIA,NE,17,SUND,CBS,7.5
NYJ,NE,1,THUN,NBC,8
NYJ,NE,1,MON1,ESP,8
NYJ,NE,1,MON2,ESP,8
NYJ,NE,1,SUNN,NBC,8
NYJ,NE,2,THUN,CBS,8
NYJ,NE,2,MON1,ESP,8
NYJ,NE,2,SUNN,NBC,8
NYJ,NE,3,THUN,CBS,8
NYJ,NE,3,MON1,ESP,8
NYJ,NE,3,SUNN,NBC,8
NYJ,NE,4,THUN,CBS,8
NYJ,NE,4,MON1,ESP,8
NYJ,NE,4,SUNN,NBC,8
NYJ,NE,5,THUN,CBS,8
NYJ,NE,5,MON1,ESP,8
NYJ,NE,5,SUNN,NBC,8
NYJ,NE,6,THUN,CBS,8
NYJ,NE,6,MON1,ESP,8
NYJ,NE,6,SUNN,NBC,8
NYJ,NE,7,THUN,CBS,8
NYJ,NE,7,MON1,ESP,8
NYJ,NE,7,SUNN,NBC,8
NYJ,NE,8,THUN,CBS,8
NYJ,NE,8,MON1,ESP,8
NYJ,NE,8,SUNN,NBC,8
NYJ,NE,9,THUN,CBS,8
NYJ,NE,9,MON1,ESP,8
NYJ,NE,9,SUNN,NBC,8
NYJ,NE,10,THUN,NFL,8
NYJ,NE,10,MON1,ESP,8
NYJ,NE,10,SUNN,NBC,8
NYJ,NE,11,THUN,NFL,8
NYJ,NE,11,MON1,ESP,8
NYJ,NE,11,SUNN,NBC,8
NYJ,NE,12,THUN,NBC,8
NYJ,NE,12,MON1,ESP,8
NYJ,NE,12,SUNN,NBC,8
NYJ,NE,13,THUN,NFL,8
NYJ,NE,13,MON1,ESP,8
NYJ,NE,13,SUNN,NBC,8
NYJ,NE,14,THUN,NFL,8
NYJ,NE,14,MON1,ESP,8
NYJ,NE,14,SUNN,NBC,8
NYJ,NE,15,THUN,NFL,8
NYJ,NE,15,MON1,ESP,8
NYJ,NE,15,SUNN,NBC,8
NYJ,NE,15,SATL,NFL,8
NYJ,NE,16,SATL,NFL,8
NYJ,NE,16,MON1,ESP,8
NYJ,NE,16,SUNN,NBC,8
NYJ,NE,1,SUND,CBS,6
NYJ,NE,2,SUND,CBS,6
NYJ,NE,3,SUND,CBS,6
NYJ,NE,4,SUND,CBS,6
NYJ,NE,5,SUND,CBS,6
NYJ,NE,6,SUND,CBS,6
NYJ,NE,7,SUND,CBS,6
NYJ,NE,8,SUND,CBS,6
NYJ,NE,9,SUND,CBS,6
NYJ,NE,10,SUND,CBS,6
NYJ,NE,11,SUND,CBS,6
NYJ,NE,12,SUND,CBS,6
NYJ,NE,13,SUND,CBS,6
NYJ,NE,14,SUND,CBS,6
NYJ,NE,15,SUND,CBS,6
NYJ,NE,16,SUND,CBS,6
NYJ,NE,1,SUNE,CBS,4
NYJ,NE,1,SUNL,CBS,4
NYJ,NE,2,SUNE,CBS,4
NYJ,NE,2,SUNL,CBS,4
NYJ,NE,3,SUNE,CBS,4
NYJ,NE,3,SUNL,CBS,4
