Away,Home
BUF,NE
MIA,NE
NYJ,NE
KC,NE
LAC,NE
ATL,NE
CAR,NE
HOU,NE
BUF,MIA
NE,MIA
NYJ,MIA
DEN,MIA
OAK,MIA
NO,MIA
TB,MIA
TEN,MIA
MIA,BUF
NE,BUF
NYJ,BUF
DEN,BUF
OAK,BUF
NO,BUF
TB,BUF
IND,BUF
BUF,NYJ
MIA,NYJ
NE,NYJ
KC,NYJ
LAC,NYJ
ATL,NYJ
CAR,NYJ
JAC,NYJ
BAL,PIT
CIN,PIT
CLE,PIT
JAC,PIT
TEN,PIT
GB,PIT
MIN,PIT
NE,PIT
CIN,BAL
CLE,BAL
PIT,BAL
HOU,BAL
IND,BAL
CHI,BAL
DET,BAL
MIA,BAL
BAL,CIN
CLE,CIN
PIT,CIN
HOU,CIN
IND,CIN
CHI,CIN
DET,CIN
BUF,CIN
BAL,CLE
CIN,CLE
PIT,CLE
JAC,CLE
TEN,CLE
GB,CLE
MIN,CLE
NYJ,CLE
IND,HOU
JAC,HOU
TEN,HOU
CLE,HOU
PIT,HOU
ARZ,HOU
SF,HOU
KC,HOU
HOU,TEN
IND,TEN
JAC,TEN
BAL,TEN
CIN,TEN
LAR,TEN
SEA,TEN
OAK,TEN
HOU,IND
JAC,IND
TEN,IND
CLE,IND
PIT,IND
ARZ,IND
SF,IND
DEN,IND
HOU,JAC
IND,JAC
TEN,JAC
BAL,JAC
CIN,JAC
LAR,JAC
SEA,JAC
LAC,JAC
DEN,KC
OAK,KC
LAC,KC
BUF,KC
MIA,KC
PHI,KC
WAS,KC
PIT,KC
DEN,OAK
KC,OAK
LAC,OAK
NE,OAK
NYJ,OAK
DAL,OAK
NYG,OAK
BAL,OAK
KC,DEN
OAK,DEN
LAC,DEN
NE,DEN
NYJ,DEN
DAL,DEN
NYG,DEN
CIN,DEN
DEN,LAC
KC,LAC
OAK,LAC
BUF,LAC
MIA,LAC
PHI,LAC
WAS,LAC
CLE,LAC
NYG,DAL
PHI,DAL
WAS,DAL
LAR,DAL
SEA,DAL
KC,DAL
LAC,DAL
GB,DAL
DAL,NYG
PHI,NYG
WAS,NYG
LAR,NYG
SEA,NYG
KC,NYG
LAC,NYG
DET,NYG
DAL,WAS
NYG,WAS
PHI,WAS
ARZ,WAS
SF,WAS
DEN,WAS
OAK,WAS
MIN,WAS
DAL,PHI
NYG,PHI
WAS,PHI
ARZ,PHI
SF,PHI
DEN,PHI
OAK,PHI
CHI,PHI
CHI,GB
DET,GB
MIN,GB
NO,GB
TB,GB
BAL,GB
CIN,GB
SEA,GB
CHI,DET
GB,DET
MIN,DET
ATL,DET
CAR,DET
CLE,DET
PIT,DET
ARZ,DET
CHI,MIN
DET,MIN
GB,MIN
NO,MIN
TB,MIN
BAL,MIN
CIN,MIN
LAR,MIN
DET,CHI
GB,CHI
MIN,CHI
ATL,CHI
CAR,CHI
CLE,CHI
PIT,CHI
SF,CHI
CAR,ATL
NO,ATL
TB,ATL
GB,ATL
MIN,ATL
BUF,ATL
MIA,ATL
DAL,ATL
ATL,TB
CAR,TB
NO,TB
CHI,TB
DET,TB
NE,TB
NYJ,TB
NYG,TB
ATL,NO
CAR,NO
TB,NO
CHI,NO
DET,NO
NE,NO
NYJ,NO
WAS,NO
ATL,CAR
NO,CAR
TB,CAR
GB,CAR
MIN,CAR
BUF,CAR
MIA,CAR
PHI,CAR
ARZ,SEA
LAR,SEA
SF,SEA
PHI,SEA
WAS,SEA
HOU,SEA
IND,SEA
ATL,SEA
LAR,ARZ
SF,ARZ
SEA,ARZ
DAL,ARZ
NYG,ARZ
JAC,ARZ
TEN,ARZ
TB,ARZ
ARZ,LAR
SF,LAR
SEA,LAR
PHI,LAR
WAS,LAR
HOU,LAR
IND,LAR
NO,LAR
ARZ,SF
LAR,SF
SEA,SF
DAL,SF
NYG,SF
JAC,SF
TEN,SF
CAR,SF
